steam_addr,sh4_pc,confidence,evidence,method,steam_name,sh4_label,bank,sh4_role,score,runner_up,steam_ninsn,sh4_ninsn
0x140611480,0x8c0360fa,low,inlined into caseD_3 (covers 100% of strong tokens): b:3cba,inlined,caseD_3,loc_8c0360fa,bank03,,0,,147,36
0x140611e90,0x8c03246c,high,sw:8#0#5(9.9) k:8#5(9.9) kl:8#-15(7.9) ko:8(3.4),fingerprint,FUN_140611e90,loc_8c03246c,bank03,,31.12,runner-up: sh4 0x8c03552a(11.5) / steam 0x140619720(3.4),66,9
0x140612180,0x8c033d78,high,c:502(8.0) c:ce60000(7.6) c:390(7.6) d:171(2.4) d:6c0(2.4) d:172(2.3),fingerprint,FUN_140612180,loc_8c033d78,bank03,LOAD-TIME body-sprite sheet decoder driver — CONFIRMS whole-part contiguous VRAM storage,30.4,runner-up: sh4 0x8c03e630(17.6) / steam 0x140612430(18.7),162,228
0x1406129f0,0x8c034bea,confirmed,"CONFIRMED both read: sprite submit. DC 8c034bea: +0x144 sprite id == 0xFF(-1) -> return 0; tst 0x8000 -> 8c0344d4 (body) else 8c0348c8. Steam FUN_1406129f0: *(+0x188)==0xffffffff -> 0; (id>>15)&1==0 -> body path inline (0x7fff mask, 0x4000 flip, +0x124/0x128 screen, +0x130/0x134 scale, +0x154 facing, +0x178/0x17A) else conditional jump to FUN_140612f70.",seed,FUN_1406129f0,loc_8c034bea,bank03,,999.0,,293,23
0x1406129f0,0x8c0344d4,confirmed,"per-frame BODY render (bit15 clear path), inlined as the main body of FUN_1406129f0",seed-inlined,FUN_1406129f0,loc_8c0344d4,bank03,per-frame BODY render,0,,293,464
0x140612f70,0x8c0348c8,high,c:390(7.6) c:1ff(6.9) c:7fff(5.5) c:3a83126f(5.4) c:4000(5.4) d:17a(3.1) d:154(2.0) d:134(2.0),fingerprint,FUN_140612f70,loc_8c0348c8,bank03,,38.78,runner-up: sh4 0x8c03400a(13.4) / steam 0x140059cf0(24.6),236,362
0x140613390,0x8c0338ec,high,b:6d44(11.4) b:6d40(11.4) b:6d3c(11.4) b:6d38(11.4) b:6d34(11.4) b:6d30(11.4) b:6d2c(11.4) b:6d28(11.4),fingerprint,FUN_140613390,loc_8c0338ec,bank03,,191.07,runner-up: sh4 0x8c03589a(95.5) / steam 0x1404571f0(23.6),256,188
0x1406137f0,0x8c03544c,high,sw:123#0#0(9.9) k:123#0(9.9) kl:80#-2(7.9) kl:123#-3(7.9) ko:80(4.5) ko:123(4.4) d:172(2.3),fingerprint+callgraph,FUN_1406137f0,loc_8c03544c,bank03,,46.77,runner-up: sh4 0x8c1294c8(14.4) / steam 0x140614420(18.7),57,51
0x140613cd0,0x8c04525a,medium,b:2f4c8(10.3) b:2eee8(9.5),fingerprint+callgraph,FUN_140613cd0,loc_8c04525a,bank04,,19.85,runner-up: sh4 0x8c010d96(14.7) / steam 0x1406219a0(16.1),225,109
0x1406142b0,0x8c034dee,high,sw:86#0#0(9.9) sw:43#0#0(9.9) sw:118#0#0(9.9) sw:105#0#0(9.9) k:86#0(9.9) k:43#0(9.9) k:118#0(9.9) k:105#0(9.9),fingerprint+callgraph,FUN_1406142b0,loc_8c034dee,bank03,anim tick,152.47,runner-up: sh4 0x8c034e8c(33.0) / steam 0x140614420(47.9),34,65
0x140614350,0x8c034f54,low,kl:50#-1(7.9) ko:32(4.9) ko:50(4.7) d:176(2.6) d:187(2.3) d:186(2.1) d:198(2.0) d:12(1.8),fingerprint+callgraph,FUN_140614350,loc_8c034f54,bank03,,25.57,runner-up: sh4 0x8c1294c8(14.6) / steam 0x1401e0160(15.9),44,86
0x140614420,0x8c034e8c,high,sw:86#0#1(9.9) sw:82#0#0(9.9) sw:79#1#0(9.9) sw:46#0#1(9.9) sw:43#0#1(9.9) sw:123#0#1(9.9) sw:111#0#1(9.9) sw:107#0#1(9.9),fingerprint+callgraph,FUN_140614420,loc_8c034e8c,bank03,load animation,389.68,runner-up: sh4 0x8c1294c8(72.3) / steam 0x140614350(40.3),45,87
0x1406146d0,0x8c035162,high,k:48#0(9.9) b:3cd4(6.9) c:ff00(5.5) c:ffff(4.4) ko:48(4.3) d:172(2.3) d:1c(0.9) d:30(0.7),fingerprint+callgraph,FUN_1406146d0,loc_8c035162,bank03,,34.95,runner-up: sh4 0x8c0659fc(20.6) / steam 0x1401616b0(12.3),268,309
0x140614c30,0x8c040a84,high,b:3cc8(10.5) b:3d65(9.8) b:3d43(8.5) b:3cd1(7.9) b:3d04(7.3),fingerprint,FUN_140614c30,loc_8c040a84,bank04,,44.05,runner-up: sh4 0x8c03e730(15.2) / steam 0x14060e560(23.7),32,59
0x140614cc0,0x8c040b20,high,b:3d53(9.4) b:3ce2(8.8) b:3cc4(8.7) b:3c7a(8.7) b:3d43(8.5) b:3cc2(8.4) b:3cc6(8.2) b:3cd0(8.0),fingerprint,FUN_140614cc0,loc_8c040b20,bank04,,131.44,runner-up: sh4 0x8c036590(70.6) / steam 0x140611a20(79.0),152,208
0x140615020,0x8c040788,high,b:698c(10.8) b:6974(10.4) b:6988(9.8) b:3d53(9.4) b:6910(9.2) c:460ca000(9.0) b:3ce2(8.8) b:6960(8.7),fingerprint,FUN_140615020,loc_8c040788,bank04,,208.82,runner-up: sh4 0x8c03a420(105.1) / steam 0x14062bc80(105.1),197,260
0x1406153e0,0x8c0411ce,medium,sw:36#3#0(9.9) kl:36#-1(7.9) ko:36(4.3),fingerprint+callgraph,FUN_1406153e0,loc_8c0411ce,bank04,,22.09,runner-up: sh4 0x8c0357d8(4.3) / steam 0x14322a860(7.4),10,10
0x140615420,0x8c041184,high,sw:212#0#0(9.9) k:212#0(9.9) kl:212#-1(7.9) ko:212(4.9),fingerprint+callgraph,FUN_140615420,loc_8c041184,bank04,,32.58,runner-up: sh4 0x8c116166(8.0) / steam 0x140607e90(7.5),169,37
0x140615760,0x8c040d86,medium,b:3d53(10.2) b:32510(9.8) b:32508(9.8) b:3ce4(9.0) b:32500(8.2) b:3cbb(7.4) b:3db8(6.9) r:30(5.9),fingerprint+callgraph,FUN_140615760,loc_8c040d86,bank04,,77.53,runner-up: sh4 0x8c036994(60.7) / steam 0x140628020(41.1),84,128
0x140615930,0x8c040eec,medium,b:3cc4(9.1) b:3cc6(8.6) b:3cc2(8.6) b:3cbd(7.5) c:14a(7.4) b:3cc0(7.2) b:3cbc(6.8) c:168(5.7),fingerprint+callgraph,FUN_140615930,loc_8c040eec,bank04,,60.85,runner-up: sh4 0x8c036590(47.7) / steam 0x140633250(47.7),58,101
0x1406163e0,0x8c03a004,medium,b:3d65(9.8) c:81d(9.5) c:817(9.5) c:816(9.5) c:81b(9.2) b:3d4c(9.0) c:81c(9.0) c:914(8.6),fingerprint,FUN_1406163e0,loc_8c03a004,bank03,,98.39,runner-up: sh4 0x8c031aac(81.2) / steam 0x1406169f0(18.8),105,148
0x140616910,0x8c039f40,medium,c:81c(9.0) c:810(8.3),fingerprint,FUN_140616910,loc_8c039f40,bank03,,17.24,runner-up: sh4 0x8c031aac(9.0) / steam 0x1406163e0(9.0),14,14
0x1406169f0,0x8c039c64,high,b:3d65(10.8) b:3d4c(9.4) kl:30#-2(7.9) c:200(4.9) ko:20(4.0) ko:30(3.6) r:87(2.6) d:94(1.4),fingerprint+callgraph,FUN_1406169f0,loc_8c039c64,bank03,,46.08,runner-up: sh4 0x8c032526(20.1) / steam 0x140617ca0(21.1),1186,316
0x140617ca0,0x8c039a74,high,b:3d4c(9.5) c:f0000000(9.0) kl:181#-1(7.9) ko:181(4.6),fingerprint+callgraph,FUN_140617ca0,loc_8c039a74,bank03,,30.96,runner-up: sh4 0x8c027ada(16.0) / steam 0x140616960(9.5),501,155
0x140618460,0x8c0273f4,high,sw:8#0#12(9.9) k:8#12(9.9) kl:8#-8(7.9) ko:8(3.4),fingerprint,FUN_140618460,loc_8c0273f4,bank02,,31.12,runner-up: sh4 0x8c039bb8(13.1) / steam 0x14043eda0(6.7),97,47
0x1406188d0,0x8c0312d6,medium,c:3f733333(8.5) c:42c80000(5.9) c:3a83126f(5.4) r:194(4.8),fingerprint+callgraph,FUN_1406188d0,loc_8c0312d6,bank03,,24.64,runner-up: sh4 0x8c0373ac(19.8) / steam 0x140473e80(15.0),87,155
0x140618ab0,0x8c031504,high,c:ff777777(9.9) c:44050000(9.9) c:44040000(9.9) c:43d20000(9.9) c:43d10000(9.9) c:43d00000(9.9) c:43c90000(9.9) c:43a40000(9.9),fingerprint,FUN_140618ab0,loc_8c031504,bank03,,266.83,runner-up: sh4 0x8c03f880(34.3) / steam 0x14005a510(35.7),386,605
0x140619370,0x8c031470,medium,c:43c50000(9.9) c:d50(9.5) c:3f75c28f(9.2) c:3f200000(7.1) ko:0(4.4),fingerprint,FUN_140619370,loc_8c031470,bank03,,40.06,runner-up: sh4 0x8c03f92a(32.9) / steam 0x140849b00(14.3),52,58
0x140619830,0x8c03221a,low,sw:8#0#16(9.9) k:8#16(9.9) kl:8#-4(7.9) ko:8(3.4),fingerprint,FUN_140619830,loc_8c03221a,bank03,,15.56,runner-up: sh4 0x8c036cc6(13.5) / steam 0x14060d470(12.9),3,50
0x140619960,0x8c0310f2,confirmed,CONFIRMED both read: render-mode getter. DC returns *(0x8c26a8e4) (0 if zero); Steam returns *(blk+0x6CE4). Establishes DC 0x8c26a8e4 <-> blk+0x6CE4 (delta 0x8C263C00).,seed,FUN_140619960,loc_8c0310f2,bank03,,999.0,,3,9
0x140619a80,0x8c031008,medium,k:38#3(9.9) kl:38#-9(7.9) ko:38(3.8),fingerprint+callgraph,FUN_140619a80,loc_8c031008,bank03,,21.57,runner-up: sh4 0x8c05a706(3.8) / steam 0x1406b6000(9.8),7,8
0x140619ac0,0x8c031018,medium,sw:38#4#0(9.9) k:38#11(9.9) kl:38#-1(7.9) ko:38(4.2),fingerprint+callgraph,FUN_140619ac0,loc_8c031018,bank03,,15.95,runner-up: sh4 0x8c05a706(4.2) / steam 0x1406b6000(9.9),9,54
0x140619b00,0x8c030fae,high,b:3ce0(9.9) k:386#2(9.9) kl:386#-5(7.9) c:ffffff(5.5) ko:386(4.5),fingerprint+callgraph,FUN_140619b00,loc_8c030fae,bank03,,37.61,runner-up: sh4 0x8c0358be(15.4) / steam 0x140619910(15.4),10,38
0x14061ac50,0x8c02fd26,high,sw:180#0#1(9.9) k:180#1(9.9) b:690a(9.8) b:6909(9.6) kl:180#-5(7.9) ko:180(4.2),fingerprint+callgraph,FUN_14061ac50,loc_8c02fd26,bank02,,51.3,runner-up: sh4 0x8c02e3c8(19.4) / steam 0x14061ce90(19.4),19,30
0x14061ad60,0x8c02fec4,high,sw:16#0#0(9.9) k:16#0(9.9) b:690a(9.6) b:6909(9.4) kl:16#-2(7.9) ko:16(4.6),fingerprint+callgraph,FUN_14061ad60,loc_8c02fec4,bank02,,51.3,runner-up: sh4 0x8c02fde0(19.0) / steam 0x14061ca70(26.3),63,75
0x14061c6e0,0x8c02e014,confirmed,"KB (seed+constants): unique constant set {0x0F4A, 0x422c0000 (43.0), 0xbed1eb85 (-0.41), 0x42be0000 (95), 0x43a00000 (320)} in the pool at 8c02e014..; Steam FUN_14061c6e0 writes the same to blk+0x6914..0x6988 (WORLD-CAMERA-GHIDRA.md s5) | matcher: b:6978(11.0) b:6912(11.0) b:6974(10.8) b:6988(10.5) sw:35#2#0(9.9) k:31#10(9.9) k:30#8(9.9) b:6911(9.8)",kb-seed+constants,FUN_14061c6e0,loc_8c02e014,bank02,,277.34,runner-up: sh4 0x8c0305d8(89.4) / steam 0x14061ca70(221.1),136,160
0x14061ca70,0x8c02e3c8,low,b:690a(9.8) b:6909(9.6) b:690c(9.5) b:690f(9.4) c:42c4cccd(9.2) c:f4a(9.0) b:6918(8.7) b:6908(7.3),fingerprint+callgraph,FUN_14061ca70,loc_8c02e3c8,bank02,,113.04,runner-up: sh4 0x8c0305d8(91.4) / steam 0x14061ce90(96.3),462,70
0x14061ca70,0x8c02e4ac,low,inlined into FUN_14061ca70 (covers 100% of strong tokens): b:690f,inlined,FUN_14061ca70,loc_8c02e4ac,bank02,,0,,462,16
0x14061ca70,0x8c02fa88,low,inlined into FUN_14061ca70 (covers 100% of strong tokens): b:6908 b:690e,inlined,FUN_14061ca70,loc_8c02fa88,bank02,,0,,462,27
0x14061ca70,0x8c02fde0,low,inlined into FUN_14061ca70 (covers 85% of strong tokens): b:324e0 b:6908 b:6909 b:690a,inlined,FUN_14061ca70,loc_8c02fde0,bank02,,0,,462,102
0x14061ca70,0x8c0300ba,low,inlined into FUN_14061ca70 (covers 72% of strong tokens): b:6908 b:6914 b:6918 c:42c4cccd c:43700000 c:43a00000,inlined,FUN_14061ca70,loc_8c0300ba,bank02,,0,,462,37
0x14061d5b0,0x8c02e334,high,sw:4#0#0(9.9) k:4#0(9.9) c:3faaaaab(7.8) c:463b8000(7.7) c:4000(5.4) ko:4(4.7),fingerprint,FUN_14061d5b0,loc_8c02e334,bank02,,45.43,runner-up: sh4 0x8c030724(15.5) / steam 0x1406318f0(27.0),19,34
0x14061d620,0x8c02e378,high,c:1e94(9.5) b:695c(8.8) c:3faaaaab(8.2) c:463b8000(8.1) c:3dcccccd(6.2) r:77(5.9) r:101(5.9) r:112(5.7),fingerprint+callgraph,FUN_14061d620,loc_8c02e378,bank02,,68.04,runner-up: sh4 0x8c030724(40.7) / steam 0x1406318f0(32.2),23,40
0x14061d6a0,0x8c02e246,confirmed,"CONFIRMED both read: camera x0.1 (lists 7/8/9). DC: eye +0xC/10/14, look-at +0x54/58/5C scaled by 0x3dcccccd (0.1), fov +0x6C: fov*32768(0x47800000)/360(0x43b40000)+0.5 & 0xffff, near/far +0x80/+0x84; Steam FUN_14061d6a0 same sequence on blk+0x6914.. with the same constants.",seed,FUN_14061d6a0,loc_8c02e246,bank02,,999.0,,52,90
0x14061d7e0,0x8c02e1a4,confirmed,"CONFIRMED both read: camera x1 (deck, lists 5/6). DC loc_8c02e1a4: eye 0x8c26a518+0xC/10/14 and look-at +0x54/58/5C copied unscaled to the stack, then 8c1204f0(3), 8c121100, 8c121710(0, +0x80), 8c1219b0(fov: +0x6C*32768/360+0.5 & 0xffff), 8c1204f0(2), 8c121100, 8c11ff90(eye, lookat, +0x84), 8c1204f0(1). Steam FUN_14061d7e0: blk+0x6914/18/1C, 0x695C/60/64, FUN_140846e90(3), FUN_140847ca0, FUN_140848200(0, blk+0x6988), FUN_140847f20(fov from blk+0x6974 same formula), FUN_140846e90(2), FUN_140847ca0, FUN_140846c80(.., blk+0x698C), FUN_140846e90(1). Camera block delta 0x8C263C10.",seed,FUN_14061d7e0,loc_8c02e1a4,bank02,,999.0,,45,81
0x14061dbe0,0x8c044f12,confirmed,"CONFIRMED both read: node alloc = free-list pop + constructor-table dispatch. DC: 8c044f12 tests free count 0x8c287ae8>0 then 8c044f26: pop head (0x8c287a54, next=+0x8), dec both free counts, inc per-list count (table 0x8c045018), memset-like jsr, node+3=list, ctor table 0x8c045020[kind]. Steam FUN_14061dbe0: *(blk+0x2EEE4)>0 && *(0x2EEE6)!=0, pop blk+0x2EDD8, dec counts, inc blk+0x2EEC8[L], memset(node,0,0x280), node+3=L, PTR_caseD_4_140a6e5c8[kind].",seed,FUN_14061dbe0,loc_8c044f12,bank04,"TA poly-record ALLOCATOR (called by every HUD sub-builder, r5=list 0x0B r6=1)",999.0,,59,10
0x14061dbe0,0x8c044f26,confirmed,alloc body (free-list pop + ctor dispatch),seed-inlined,FUN_14061dbe0,loc_8c044f26,bank04,,0,,59,62
0x14061de60,0x8c10589a,medium,sw:144#0#0(9.9) k:144#0(9.9) ko:144(4.6),fingerprint+callgraph,FUN_14061de60,loc_8c10589a,bank10,,24.34,runner-up: sh4 0x8c029e44(9.3) / steam 0x14073da50(13.4),48,85
0x14061df40,0x8c0450c0,confirmed,"CONFIRMED both read: node unlink + return to free list. DC: clears byte +0x12C (mov.w pool 0x012c), fixes prev/next (+0x8/+0xC) or heads/tails tables, dec per-list count, push on free list; 468 DC call sites. Steam FUN_14061df40: +0x170=0, prev/next +0x8/+0x10, blk+0x2EDE8/0x2EE58 tables, dec blk+0x2EEC8[L], free tail blk+0x2EDE0, inc blk+0x2EEE4/6.",seed,FUN_14061df40,loc_8c0450c0,bank04,,999.0,,48,67
0x14061e030,0x8c044e56,high,b:2eec8(11.0) b:2ee58(10.5) b:2ede8(9.9) sw:74#0#0(9.9) k:74#0(9.9) kl:74#-1(7.9) ko:74(4.9),fingerprint+callgraph,FUN_14061e030,loc_8c044e56,bank04,,64.08,runner-up: sh4 0x8c044fe0(20.5) / steam 0x14061d900(31.5),63,36
0x14061e170,0x8c044d8c,confirmed,"CONFIRMED both read: pool + render-state init. DC: bsr 8c044dce (pool init) then 5 memsets (r6 = 0x0C, w, w, 0x18, 0x10) and two byte clears. Steam FUN_14061e170: pool init inline (256 x 0x280 from blk+0x6DD8, free head/tail blk+0x2EDD8/E0, 14 heads/tails/counts, 0xF6/0x100), then zero blk+0x6CC4/0x6CCC, memset(blk+0x6908,0x180), memset(blk+0x6A88,0x22C), zero 0x6CE4/0x6CEC, DAT_142edf543=0, DAT_142edf546=0.",seed,FUN_14061e170,loc_8c044d8c,bank04,,999.0,,152,33
0x14061e170,0x8c044dce,confirmed,"object-pool initializer: base 0x8c26aa54 stride 0x1D0 x256 (consts 0x1d000/0x1ce30), free head/tail 0x8c287a54/58, heads 0x8c287a5c, tails 0x8c287a94, counts 0x8c287acc, free counts 0x8c287ae8=0xF6 /aea=0x100 -- pointer-scaled onto blk+0x2EDD8..",seed-inlined,FUN_14061e170,loc_8c044dce,bank04,object-pool initializer,0,,152,68
0x14061e880,0x8c047594,medium,kl:37#-1(7.9) c:1b0(6.5) ko:37(4.5) d:578(1.7),fingerprint+callgraph,FUN_14061e880,loc_8c047594,bank04,,20.67,runner-up: sh4 0x8c046756(14.4) / steam 0x1401326e0(6.6),23,52
0x14061e9d0,0x8c0473b0,medium,b:3d39(8.8) b:3ce1(8.7) b:3ce6(8.6) b:3d43(8.5) b:3d3c(7.4) b:3db8(6.8),fingerprint,FUN_14061e9d0,loc_8c0473b0,bank04,,48.72,runner-up: sh4 0x8c036994(31.6) / steam 0x14060e170(40.1),59,202
0x14061f030,0x8c043cdc,high,b:3d62(10.2) b:324e4(10.2) b:32520(10.1) b:32510(9.6) b:32534(9.5) b:324e5(9.2) b:3d50(9.2) c:bff0(8.3),fingerprint,FUN_14061f030,loc_8c043cdc,bank04,,104.26,runner-up: sh4 0x8c045e74(49.9) / steam 0x140628020(40.8),470,122
0x14061f030,0x8c044c4a,medium,inlined into FUN_14061f030 (covers 100% of strong tokens): b:324e0 b:32500 b:32510,inlined,FUN_14061f030,loc_8c044c4a,bank04,,0,,470,25
0x14061f030,0x8c043e30,low,inlined into FUN_14061f030 (covers 100% of strong tokens): b:32500 b:3cd4,inlined,FUN_14061f030,loc_8c043e30,bank04,,0,,470,84
0x14061f030,0x8c043fb8,low,inlined into FUN_14061f030 (covers 71% of strong tokens): b:324e0 b:32500 b:3db8,inlined,FUN_14061f030,loc_8c043fb8,bank04,,0,,470,65
0x14061f030,0x8c044944,low,inlined into FUN_14061f030 (covers 81% of strong tokens): b:324e0 b:32500 b:32520 c:bff0,inlined,FUN_14061f030,loc_8c044944,bank04,,0,,470,105
0x14061f030,0x8c044ccc,low,inlined into FUN_14061f030 (covers 66% of strong tokens): b:3d50 b:3db8,inlined,FUN_14061f030,loc_8c044ccc,bank04,,0,,470,80
0x140620070,0x8c04419c,low,c:43cdb6db(8.4) c:43055555(7.5) c:c1092492(7.4) c:41555555(5.6) c:bf4db6db(4.6) r:155(2.7) r:154(1.5) d:170(1.0),fingerprint+callgraph,FUN_140620070,loc_8c04419c,bank04,,43.14,runner-up: sh4 0x8c044882(36.8) / steam 0x1406e09a0(30.7),50,122
0x140620200,0x8c045ce0,high,b:6cc4(10.4) b:6cb0(9.5) b:6cac(9.5) b:6ca8(9.5) b:6d04(8.2),fingerprint,FUN_140620200,loc_8c045ce0,bank04,,47.17,runner-up: sh4 0x8c03e97c(29.6) / steam 0x14061f030(33.8),102,107
0x140620200,0x8c108426,low,inlined into FUN_140620200 (covers 100% of strong tokens): b:6cc4 b:6d04,inlined,FUN_140620200,loc_8c108426,bank10,,0,,102,50
0x140620740,0x8c0301ce,confirmed,"CONFIRMED both read: list matrix walker. DC: heads table 0x8c287a5c[L] (== blk+0x2EDE8+L*8), per node bsr 8c0301f6, next = +0xC (== Steam +0x10). Steam FUN_140620740(L): same loop with the per-node matrix compose inlined.",seed,FUN_140620740,loc_8c0301ce,bank03,,999.0,,111,20
0x140620740,0x8c0301f6,confirmed,"per-node matrix compose (push, parent matrix, translate/billboard/rotate/scale, store +0xA8, pop)",seed-inlined,FUN_140620740,loc_8c0301f6,bank03,,0,,111,220
0x140620960,0x8c030858,confirmed,"CONFIRMED both read: per-frame render dispatcher. DC: jsr 8c0310f2 (mode) -> mode1: 8c030d56 | mode0: 8c0308c2 walker, test G+0x98 blackout (mov.w 0x98), 8c030cc0 deck+list5, 8c030d12, 8c030d24, 8c030d36, 8c030dcc HUD; then G+0x2E==1 -> jmp 8c031470. Steam FUN_140620960: FUN_140619960 mode, FUN_140620f10, *(G+0x98)==0, blk+0x6D04!=8, camera/push/identity/colour/model0/pop, lists 5,6,7,8, FUN_140620ea0; g_offs 0x3CE6 (=G+0x2E).",seed,FUN_140620960,loc_8c030858,bank03,,999.0,,83,53
0x140620960,0x8c030cc0,confirmed,"deck draw block: STG_ID!=8 -> 8c02e1a4 camera, 8c120950(0) push, 8c121100 identity, 8c030cfc colour, 8c1235e0(model0), 8c120900(1) pop; then bsr list-5 trio == the inline block at 0x140620a4c.. in FUN_140620960",seed-inlined,FUN_140620960,loc_8c030cc0,bank03,,0,,83,30
0x140620960,0x8c030cfc,confirmed,"loads deck vertex colour fr4/5/6 from 0x8c26a8a4+4/8/C -> Steam FUN_140849b00(blk+0x6CA8,0x6CAC,0x6CB0)",seed-inlined,FUN_140620960,loc_8c030cfc,bank03,,0,,83,11
0x140620960,0x8c030d12,confirmed,list 5 trio: 8c02e1a4 camera + 8c0301ce(5) + 8c030410(5) == FUN_14061d7e0; FUN_140620740(5); FUN_140620cd0(5),seed-inlined,FUN_140620960,loc_8c030d12,bank03,,0,,83,9
0x140620960,0x8c030d24,confirmed,list 6 trio (camera x1),seed-inlined,FUN_140620960,loc_8c030d24,bank03,,0,,83,9
0x140620960,0x8c030d36,confirmed,lists 7 and 8 with 8c02e246 camera x0.1 == FUN_14061d6a0 path,seed-inlined,FUN_140620960,loc_8c030d36,bank03,,0,,83,16
0x140620960,0x8c030d56,confirmed,mode-1 path: 8c02e246 camera x0.1 + list 9,seed-inlined,FUN_140620960,loc_8c030d56,bank03,,0,,83,30
0x140620bb0,0x8c03069e,low,r:208(5.2) r:194(4.8) r:3(4.7) r:2(4.7) r:119(4.6),fingerprint+callgraph,FUN_140620bb0,loc_8c03069e,bank03,,24.02,runner-up: sh4 0x8c030818(14.0) / steam 0x140620c30(14.0),24,32
0x140620c70,0x8c030df0,low,b:6cd8(11.8) r:208(5.4),fingerprint+callgraph,FUN_140620c70,loc_8c030df0,bank03,,17.21,runner-up: sh4 0x8c037a46(2.7) / steam 0x1406138e0(5.4),16,19
0x140620cd0,0x8c030410,confirmed,"CONFIRMED both read: list draw walker. DC: per node test +woff(0x12c) gate and +woff(obj) then optional +0x28 callback (8c0305ce) and 8c030452 draw; Steam FUN_140620cd0: +0x170 && +0xA0, optional +0x40 callback, draw body inlined.",seed,FUN_140620cd0,loc_8c030410,bank03,,999.0,,100,33
0x140620cd0,0x8c030452,confirmed,"per-node draw body (push, load +0xA8 matrix, scale, colour select, draw kind, pop)",seed-inlined,FUN_140620cd0,loc_8c030452,bank03,,0,,100,101
0x140620cd0,0x8c0305ce,confirmed,call node +0x28 callback (== Steam node +0x40 callback),seed-inlined,FUN_140620cd0,loc_8c0305ce,bank03,,0,,100,5
0x140620cd0,0x8c030550,medium,inlined into FUN_140620cd0 (covers 87% of strong tokens): b:6ca8 b:6cac b:6cb0 c:800,inlined,FUN_140620cd0,loc_8c030550,bank03,,0,,100,61
0x140620ea0,0x8c030dcc,confirmed,"CONFIRMED both read: HUD (list 0xB) then list 0xC. DC: 8c02e334 camera + 8c0301ce(0xB) + 8c030410(0xB); *(G+0x14)==0x40 skip else 8c030d68 walks heads[12]=0x8c287a8c (== blk+0x2EE48) nodes with +0x12C gate and jsr 8c0f215e. Steam: FUN_14061d5b0, FUN_140620740(0xB), FUN_140620cd0(0xB), *(G+0x14)!=0x40 -> walk blk+0x2EE48 with +0x170 -> FUN_140653a70.",seed,FUN_140620ea0,loc_8c030dcc,bank03,,999.0,,25,18
0x140620f10,0x8c0308c2,confirmed,"CONFIRMED both read: sprite walker over the 16 draw lists. DC: handles 0x8c287de0 stride 0x180 (mov.w 0x0180), counts 0x8c2895e0, node+3 category==0 -> 8c03093c else 8c030af8. Steam: blk+0x2F4D0 stride 0x300, counts blk+0x324D0, node+3, +0x170 gate, both render bodies inlined (812.357 / 480 / 640 / 1000 / 0.1 / 0.001 constants present on both sides).",seed,FUN_140620f10,loc_8c0308c2,bank03,Render_sprites (slot-table walker),999.0,,245,48
0x140620f10,0x8c03093c,confirmed,Render Main Sprite: +0x12C draw gate == Steam +0x170; camera constant 812.357 (0x444b16de) at bank03.asm:1513 == blk+0x691C,seed-inlined,FUN_140620f10,loc_8c03093c,bank03,"Render Main Sprite (PER-FRAME, per-object)",0,,245,180
0x140620f10,0x8c030af8,confirmed,"effect-path renderer (category!=0), same constant set, stride 0x5A4 == Steam 0x738",seed-inlined,FUN_140620f10,loc_8c030af8,bank03,,0,,245,193
0x140621430,0x8c045790,high,b:324e1(8.8) c:42009249(8.6) b:324e0(6.3) c:1fff(5.7),fingerprint,FUN_140621430,loc_8c045790,bank04,,29.43,runner-up: sh4 0x8c05b642(20.8) / steam 0x1406215c0(20.8),44,80
0x1406215c0,0x8c05b642,high,b:324e1(9.1) b:324e0(6.5) c:1fff(5.7),fingerprint+callgraph,FUN_1406215c0,loc_8c05b642,bank05,,21.35,runner-up: sh4 0x8c046bc4(15.6) / steam 0x140621690(12.3),28,47
0x140621630,0x8c045748,high,sw:118#0#2(9.9) k:118#2(9.9) b:2f4c8(9.7) b:2eee8(9.4) kl:118#-1(7.9) kl:109#-1(7.9) ko:118(4.4) ko:109(4.2),fingerprint+callgraph,FUN_140621630,loc_8c045748,bank04,,63.26,runner-up: sh4 0x8c045250(19.1) / steam 0x1406142b0(21.9),17,36
0x140621960,0x8c045708,high,b:2f4ca(10.3) b:2f4c8(10.0) sw:142#2#1(9.9) ko:142(3.9),fingerprint+callgraph,FUN_140621960,loc_8c045708,bank04,,34.16,runner-up: sh4 0x8c03068c(11.1) / steam 0x140613cd0(20.4),9,20
0x140622720,0x8c0505b8,low,b:324e0(6.5) c:3f0(6.4) c:3c00(6.4) d:186(2.1) d:578(1.8) r:161(1.4),fingerprint+callgraph,FUN_140622720,loc_8c0505b8,bank05,,24.67,runner-up: sh4 0x8c050610(21.1) / steam 0x1406226b0(21.1),39,44
0x140622910,0x8c04fea8,high,sw:365#1#0(9.9) sw:364#0#0(9.9) k:365#2(9.9) k:364#0(9.9) kl:365#-12(7.9) ko:364(4.7) c:3fd55555(4.3) ko:365(4.0),fingerprint+callgraph,FUN_140622910,loc_8c04fea8,bank04,,63.2,runner-up: sh4 0x8c052dac(6.3) / steam 0x14059d4e0(13.7),44,89
